"Município de residência";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"410010 ABATIA";-;2;-;1;-;2;5
"410020 ADRIANOPOLIS";-;-;-;-;2;1;3
"410030 AGUDOS DO SUL";2;7;-;2;-;3;14
"410040 ALMIRANTE TAMANDARE";30;24;18;18;31;33;154
"410045 ALTAMIRA DO PARANA";-;-;-;-;1;-;1
"410050 ALTONIA";8;6;4;4;4;4;30
"410060 ALTO PARANA";3;3;5;2;2;3;18
"410070 ALTO PIQUIRI";2;4;-;1;1;5;13
"410080 ALVORADA DO SUL";4;-;2;-;1;2;9
"410090 AMAPORA";-;1;2;3;4;3;13
"410100 AMPERE";3;-;-;1;2;1;7
"410105 ANAHY";-;-;-;1;-;-;1
"410110 ANDIRA";6;5;4;3;6;7;31
"410115 ANGULO";-;-;1;-;-;-;1
"410120 ANTONINA";13;12;9;5;21;5;65
"410130 ANTONIO OLINTO";-;-;-;2;-;-;2
"410140 APUCARANA";30;22;21;14;20;17;124
"410150 ARAPONGAS";46;33;36;34;35;22;206
"410160 ARAPOTI";3;1;3;3;4;4;18
"410170 ARARUNA";-;-;-;2;1;2;5
"410180 ARAUCARIA";30;23;24;22;44;31;174
"410190 ASSAI";5;4;8;8;10;7;42
"410200 ASSIS CHATEAUBRIAND";7;8;2;6;6;5;34
"410210 ASTORGA";2;2;4;2;4;-;14
"410230 BALSA NOVA";1;1;-;-;2;2;6
"410240 BANDEIRANTES";13;10;9;14;13;10;69
"410250 BARBOSA FERRAZ";3;5;5;1;-;-;14
"410260 BARRACAO";1;1;-;-;-;1;3
"410270 BARRA DO JACARE";1;-;-;1;-;-;2
"410275 BELA VISTA DA CAROBA";1;1;-;-;-;-;2
"410280 BELA VISTA DO PARAISO";3;3;1;4;1;1;13
"410290 BITURUNA";-;-;-;1;-;1;2
"410300 BOA ESPERANCA";-;-;-;3;1;-;4
"410304 BOA VENTURA DE SAO ROQUE";1;-;-;-;-;-;1
"410305 BOA VISTA DA APARECIDA";4;1;1;2;3;-;11
"410310 BOCAIUVA DO SUL";1;3;-;3;2;4;13
"410315 BOM JESUS DO SUL";-;-;-;-;-;1;1
"410320 BOM SUCESSO";-;1;1;-;1;1;4
"410322 BOM SUCESSO DO SUL";-;-;1;-;-;-;1
"410330 BORRAZOPOLIS";2;2;-;-;1;5;10
"410335 BRAGANEY";-;-;-;-;-;1;1
"410337 BRASILANDIA DO SUL";1;-;-;4;-;-;5
"410340 CAFEARA";-;-;-;-;-;1;1
"410345 CAFELANDIA";4;3;4;2;4;5;22
"410347 CAFEZAL DO SUL";2;-;1;-;3;-;6
"410350 CALIFORNIA";2;2;-;1;-;4;9
"410360 CAMBARA";12;9;9;11;8;12;61
"410370 CAMBE";32;35;17;22;24;33;163
"410380 CAMBIRA";2;1;1;-;2;3;9
"410390 CAMPINA DA LAGOA";3;1;6;2;2;3;17
"410395 CAMPINA DO SIMAO";-;-;1;-;-;-;1
"410400 CAMPINA GRANDE DO SUL";4;11;7;12;8;8;50
"410405 CAMPO BONITO";2;-;-;-;-;1;3
"410410 CAMPO DO TENENTE";1;-;1;-;1;-;3
"410420 CAMPO LARGO";20;20;22;22;23;36;143
"410425 CAMPO MAGRO";4;1;3;10;6;5;29
"410430 CAMPO MOURAO";41;25;25;17;20;25;153
"410440 CANDIDO DE ABREU";2;-;1;2;1;1;7
"410442 CANDOI";2;-;1;1;1;2;7
"410445 CANTAGALO";-;-;1;3;3;4;11
"410450 CAPANEMA";3;3;3;1;-;1;11
"410460 CAPITAO LEONIDAS MARQUES";1;3;-;2;1;5;12
"410465 CARAMBEI";3;5;7;6;5;6;32
"410470 CARLOPOLIS";2;7;12;2;3;1;27
"410480 CASCAVEL";78;74;70;70;86;82;460
"410490 CASTRO";20;12;19;18;32;23;124
"410500 CATANDUVAS";7;7;6;2;5;5;32
"410510 CENTENARIO DO SUL";2;2;1;3;4;3;15
"410520 CERRO AZUL";3;1;3;2;1;2;12
"410530 CEU AZUL";-;2;6;1;-;1;10
"410540 CHOPINZINHO";-;5;2;2;-;-;9
"410550 CIANORTE";7;10;23;8;7;6;61
"410560 CIDADE GAUCHA";-;6;3;1;4;1;15
"410570 CLEVELANDIA";3;-;-;2;3;4;12
"410580 COLOMBO";58;62;74;60;49;70;373
"410590 COLORADO";1;2;4;1;6;6;20
"410600 CONGONHINHAS";1;1;3;1;1;1;8
"410610 CONSELHEIRO MAIRINCK";1;3;2;8;-;3;17
"410620 CONTENDA";1;3;1;8;5;4;22
"410630 CORBELIA";2;2;5;2;3;3;17
"410640 CORNELIO PROCOPIO";8;18;12;11;13;19;81
"410645 CORONEL DOMINGOS SOARES";-;-;-;1;-;1;2
"410650 CORONEL VIVIDA";2;5;5;1;2;1;16
"410655 CORUMBATAI DO SUL";-;1;-;-;-;-;1
"410657 CRUZEIRO DO IGUACU";-;-;-;-;-;1;1
"410660 CRUZEIRO DO OESTE";12;7;10;12;18;11;70
"410670 CRUZEIRO DO SUL";1;1;3;-;-;1;6
