municipio;regiao;dens_2018;dens_2019;dens_2020;dens_2021;dens_2022;dens_2023
Abatiá;RGI de Santo Antônio da Platina;32.93;32.71;32.5;32.29;31.76;32.04
Adrianópolis;RGI de Curitiba;4.46;4.41;4.36;4.32;4.66;4.72
Agudos do Sul;RGI de Curitiba;48.32;48.85;49.36;49.87;53.34;54.63
Almirante Tamandaré;RGI de Curitiba;604.03;611.53;618.84;625.95;618.54;637.95
Altamira do Paraná;RGI de Campo Mourão;5.69;5.0;4.33;3.68;9.25;9.16
Alto Paraíso;RGI de Umuarama;2.68;2.62;2.57;2.52;2.92;2.94
Alto Paraná;RGI de Paranavaí;36.0;36.22;36.44;36.65;34.11;34.67
Alto Piquiri;RGI de Umuarama;22.07;21.93;21.8;21.68;21.69;21.95
Altônia;RGI de Umuarama;30.11;30.28;30.45;30.61;25.73;25.99
Alvorada do Sul;RGI de Londrina;26.45;26.69;26.91;27.13;24.16;24.6
Amaporã;RGI de Paranavaí;16.1;16.29;16.49;16.68;12.4;12.43
Ampére;RGI de Francisco Beltrão;63.69;64.24;64.77;65.29;65.8;67.23
Anahy;RGI de Cascavel;26.79;26.64;26.52;26.39;27.76;27.88
Andirá;RGI de Santo Antônio da Platina;86.17;85.71;85.26;84.88;85.15;86.3
Ângulo;RGI de Maringá;27.71;27.72;27.74;27.74;30.62;30.99
Antonina;RGI de Paranaguá;21.74;21.38;21.34;21.31;20.33;20.59
Antônio Olinto;RGI de União da Vitória;15.95;15.93;15.92;15.9;15.04;15.18
Apucarana;RGI de Apucarana;240.06;242.34;244.57;246.73;233.62;240.17
Arapongas;RGI de Londrina;316.81;321.59;326.25;330.79;311.43;320.57
Arapoti;RGI de Ponta Grossa;20.46;20.6;20.74;20.87;18.89;19.34
Arapuã;RGI de Ivaiporã;14.37;14.09;13.82;13.56;16.2;16.35
Araruna;RGI de Campo Mourão;28.22;28.28;28.34;28.4;29.32;30.04
Araucária;RGI de Curitiba;300.86;306.03;311.08;315.99;322.68;334.35
Ariranha do Ivaí;RGI de Ivaiporã;8.94;8.76;8.59;8.42;9.91;9.95
Assaí;RGI de Londrina;34.61;34.22;33.85;33.48;31.23;31.42
Assis Chateaubriand;RGI de Toledo;34.56;34.11;34.09;34.05;37.63;38.66
Astorga;RGI de Maringá;59.63;59.86;60.09;60.31;58.5;59.97
Atalaia;RGI de Maringá;28.43;28.36;28.28;28.2;29.0;29.52
Balsa Nova;RGI de Curitiba;36.71;37.23;37.66;38.08;38.53;39.45
Bandeirantes;RGI de Cornélio Procópio - Bandeirantes;70.67;70.32;69.97;69.63;70.11;71.62
Barbosa Ferraz;RGI de Campo Mourão;21.91;21.64;21.37;21.11;20.19;20.19
Barra do Jacaré;RGI de Santo Antônio da Platina;24.09;24.09;24.09;24.05;24.42;24.6
Barracão;RGI de Francisco Beltrão;62.08;62.3;62.53;62.74;59.93;60.79
Bela Vista da Caroba;RGI de Francisco Beltrão;24.08;23.7;23.33;22.98;27.21;27.56
Bela Vista do Paraíso;RGI de Londrina;62.68;62.72;62.73;62.73;60.42;61.41
Bituruna;RGI de União da Vitória;13.29;13.3;13.25;13.26;12.55;12.21
Boa Esperança;RGI de Campo Mourão;13.82;13.62;13.43;13.24;15.12;15.28
Boa Esperança do Iguaçu;RGI de Dois Vizinhos;16.81;16.58;16.36;16.14;16.26;15.98
Boa Ventura de São Roque;RGI de Pitanga;10.33;10.28;10.24;10.21;10.26;10.26
Boa Vista da Aparecida;RGI de Cascavel;28.82;28.62;28.43;28.31;29.81;30.22
Bocaiúva do Sul;RGI de Curitiba;15.71;15.94;16.16;16.38;16.42;16.83
Bom Jesus do Sul;RGI de Francisco Beltrão;20.22;20.01;19.81;19.62;22.51;22.74
Bom Sucesso;RGI de Apucarana;21.76;21.87;21.98;22.09;20.42;20.83
Bom Sucesso do Sul;RGI de Pato Branco;16.66;16.6;16.52;16.47;16.26;16.15
Borrazópolis;RGI de Apucarana;19.94;19.47;19.02;18.58;22.89;23.24
Braganey;RGI de Cascavel;15.98;15.85;15.72;15.59;14.18;14.08
Brasilândia do Sul;RGI de Umuarama;9.33;9.1;8.87;8.65;12.72;12.94
